                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2881,                0.83559,                 1.1992,                0.84932,                0.81494,                0.84278,                0.49869,                 1.3926,                0.88698,                 1.2888,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2254,                0.82731,                 1.1223,                0.84666,                0.80723,                0.90278,                  0.536,                 1.2882,                0.80303,                 1.2398,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2567,                0.82378,                 1.1435,                0.86517,                0.85047,                0.87377,                0.50571,                 1.4453,                0.88971,                 1.2953,               0.001307,               0.001307,               0.001307
                     38,                 1.2851,                0.78814,                 1.1783,                0.91603,                0.80723,                0.90196,                0.55236,                 1.2946,                0.77394,                 1.2127,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1738,                0.74705,                 1.1388,                0.90474,                0.86747,                0.92247,                0.56081,                 1.2735,                0.75443,                 1.2352,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2462,                0.78371,                  1.177,                0.88843,                0.86352,                0.90858,                0.54554,                 1.3066,                0.75145,                 1.2463,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2479,                0.75532,                 1.1689,                0.89988,                0.86636,                0.90237,                0.55916,                 1.2948,                0.76877,                 1.2147,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2598,                0.76373,                 1.1762,                0.87774,                0.85542,                0.86686,                0.51588,                 1.3671,                0.77277,                 1.2514,               0.001208,               0.001208,               0.001208
                     43,                 1.2218,                0.77098,                 1.1309,                0.94661,                0.81928,                0.91646,                0.55517,                 1.3277,                0.74023,                 1.2487,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2246,                0.75264,                 1.1547,                0.86448,                0.84546,                0.88759,                0.55792,                 1.2929,                0.79029,                 1.2772,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2089,                 0.7702,                  1.158,                0.95747,                0.81384,                0.91451,                 0.5669,                 1.3042,                0.76188,                 1.2574,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1689,                0.74902,                 1.1507,                 0.9574,                0.78313,                0.91776,                 0.5347,                 1.3373,                0.72961,                 1.2542,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.176,                0.71895,                 1.1028,                0.88179,                0.80723,                0.89087,                0.52428,                 1.3882,                0.80471,                 1.2555,               0.001109,               0.001109,               0.001109
                     48,                 1.2426,                0.76493,                 1.1463,                0.92223,                0.85731,                0.91765,                0.55526,                 1.3391,                0.76133,                 1.2474,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1779,                0.73473,                 1.1032,                0.94851,                0.79518,                0.89216,                0.54453,                 1.3468,                0.79814,                 1.2954,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1894,                0.74268,                 1.1431,                0.90648,                0.81745,                0.90787,                0.55404,                 1.3602,                0.78213,                 1.2635,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1811,                0.68641,                 1.1209,                0.95544,                0.77508,                0.88972,                0.55423,                 1.2985,                0.77281,                 1.2616,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1762,                0.70828,                 1.1216,                0.87221,                0.81928,                0.89091,                0.56217,                 1.2966,                0.81087,                 1.2234,                0.00101,                0.00101,                0.00101
                     53,                 1.1223,                0.67919,                 1.1165,                0.92519,                0.81928,                0.90751,                0.58243,                  1.258,                0.78348,                 1.2108,              0.0009902,              0.0009902,              0.0009902
